Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     30.14     0.00      892     0.00     0.00  std::_Hashtable<int, std::pair<int const, unsigned int>, std::allocator<std::pair<int const, unsigned int> >, std::_Select1st<std::pair<int const, unsigned int> >, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::__detail::_Hash_node<std::pair<int const, unsigned int>, false>*, int const&, unsigned int) const
  0.00     30.14     0.00      892     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00     30.14     0.00      892     0.00     0.00  std::__detail::_Map_base<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, true, std::_Hashtable<int, std::pair<int const, unsigned int>, std::allocator<std::pair<int const, unsigned int> >, std::_Select1st<std::pair<int const, unsigned int> >, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true> >::operator[](int const&)
  0.00     30.14     0.00      888     0.00     0.00  GgafDx9Core::GgafDx9MeshSetActor::addAlpha(float)
  0.00     30.14     0.00      880     0.00     0.00  GgafDx9LibStg::WallAAPrismActor::config(GgafDx9LibStg::WalledSectionScene*, int, int, int*)
  0.00     30.14     0.00      840     0.00     0.00  GgafDx9LibStg::LaserChip::registHitAreaCube(int)
  0.00     30.14     0.00      826     0.00     0.00  res2_inverse
  0.00     30.14     0.00      802     0.00     0.00  MyStg2nd::EffectLockon001_Main::releaseLockon()
  0.00     30.14     0.00      800     0.00     0.00  MyStg2nd::MyOptionLockonController::releaseAllLockon()
  0.00     30.14     0.00      787     0.00     0.00  MyStg2nd::CameraWorker::processBehavior()
  0.00     30.14     0.00      786     0.00     0.00  MyStg2nd::CameraWorker::processJudgement()
  0.00     30.14     0.00      781     0.00     0.00  vorbis_synthesis_halfrate_p
  0.00     30.14     0.00      778     0.00     0.00  GgafDx9LibStg::ColliAAPrism::set(int, int, int, int, int, int, int, bool, bool, bool)
  0.00     30.14     0.00      761     0.00     0.00  GgafDx9LibStg::CollisionChecker::setColliAAPrism(int, int, int, int, int, int, int, int, bool, bool, bool)
  0.00     30.14     0.00      752     0.00     0.00  GgafDx9LibStg::CollisionChecker::setColliAAB(int, int, int, int, int)
  0.00     30.14     0.00      745     0.00     0.00  GgafDx9LibStg::CollisionChecker::setColliAAPrism(int, int, int, int, int, int, int, int)
  0.00     30.14     0.00      744     0.00     0.00  oggpack_bytes
  0.00     30.14     0.00      737     0.00     0.00  GgafDx9Core::GgafDx9SpriteActor::processDraw()
  0.00     30.14     0.00      737     0.00     0.00  GgafDx9Core::GgafDx9SpriteModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.00     30.14     0.00      735     0.00     0.00  mdct_clear
  0.00     30.14     0.00      728     0.00     0.00  mdct_backward
  0.00     30.14     0.00      727     0.00     0.00  _vorbis_window_get
  0.00     30.14     0.00      725     0.00     0.00  GgafDx9LibStg::SingleLaser::~SingleLaser()
  0.00     30.14     0.00      725     0.00     0.00  GgafCore::GgafProgress::getActivePartFrameInProgress()
  0.00     30.14     0.00      720     0.00     0.00  GgafDx9LibStg::CurveLaserChip::CurveLaserChip(char const*, char const*)
  0.00     30.14     0.00      720     0.00     0.00  GgafDx9LibStg::CurveLaserChip::~CurveLaserChip()
  0.00     30.14     0.00      720     0.00     0.00  GgafCore::GgafNode<GgafCore::GgafActor>::getName()
  0.00     30.14     0.00      720     0.00     0.00  MyStg2nd::MyCurveLaserChip001::initialize()
  0.00     30.14     0.00      720     0.00     0.00  MyStg2nd::MyCurveLaserChip001::MyCurveLaserChip001(char const*)
  0.00     30.14     0.00      720     0.00     0.00  MyStg2nd::MyCurveLaserChip001::~MyCurveLaserChip001()
  0.00     30.14     0.00      720     0.00     0.00  MyStg2nd::MyCurveLaserChip001::~MyCurveLaserChip001()
  0.00     30.14     0.00      718     0.00     0.00  GgafDx9LibStg::SingleLaser::SingleLaser(char const*, char const*)
  0.00     30.14     0.00      712     0.00     0.00  GgafDx9Core::GgafDx9Util::anotherRzRy(int&, int&)
  0.00     30.14     0.00      712     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::getRzRyMvAngDistance(int, int, int, int&, int&, int&, int&)
  0.00     30.14     0.00      700     0.00     0.00  MyStg2nd::MyShip::move_WAY_UP()
  0.00     30.14     0.00      698     0.00     0.00  GgafCore::GgafProgress::change(int)
  0.00     30.14     0.00      693     0.00     0.00  GgafDx9Core::GgafDx9GeometricScaler::intoTargetScaleAcceStep(int, int, int, int)
  0.00     30.14     0.00      675     0.00     0.00  GgafDx9Core::GgafDx9UvFlipper::forcePtnNoRange(int, int)
  0.00     30.14     0.00      648     0.00     0.00  MyStg2nd::MyOption::setRadiusPosition(int)
  0.00     30.14     0.00      614     0.00     0.00  std::enable_if<!(std::is_lvalue_reference<unsigned int>::value), unsigned int&&>::type std::forward<unsigned int>(std::identity<unsigned int>::type&)
  0.00     30.14     0.00      608     0.00     0.00  MyStg2nd::MyOption::addRadiusPosition(int)
  0.00     30.14     0.00      584     0.00     0.00  ogg_sync_buffer
  0.00     30.14     0.00      578     0.00     0.00  GgafDx9Core::GgafDx9GeometricScaler::setScale(int)
  0.00     30.14     0.00      578     0.00     0.00  ogg_sync_wrote
  0.00     30.14     0.00      566     0.00     0.00  std::pair<bool, unsigned int>::pair<bool, unsigned int>(std::pair<bool, unsigned int>&&)
  0.00     30.14     0.00      543     0.00     0.00  vorbis_packet_blocksize
  0.00     30.14     0.00      528     0.00     0.00  vorbis_staticbook_destroy
  0.00     30.14     0.00      528     0.00     0.00  vorbis_staticbook_unpack
  0.00     30.14     0.00      513     0.00     0.00  GgafCore::GgafFactory::chkProgress(unsigned long)
  0.00     30.14     0.00      501     0.00     0.00  GgafDx9Core::GgafDx9DrawableActor::changeEffectTechnique(char const*)
  0.00     30.14     0.00      500     0.00     0.00  GgafDx9LibStg::ColliAAPrism::~ColliAAPrism()
  0.00     30.14     0.00      500     0.00     0.00  GgafDx9LibStg::ColliAAPrism::~ColliAAPrism()
  0.00     30.14     0.00      500     0.00     0.00  GgafDx9LibStg::WallAAPrismActor::~WallAAPrismActor()
  0.00     30.14     0.00      500     0.00     0.00  MyStg2nd::Wall001Prism::~Wall001Prism()
  0.00     30.14     0.00      500     0.00     0.00  MyStg2nd::Wall001Prism::~Wall001Prism()
  0.00     30.14     0.00      500     0.00     0.00  MyStg2nd::Shot004::initialize()
  0.00     30.14     0.00      500     0.00     0.00  MyStg2nd::Shot004::~Shot004()
  0.00     30.14     0.00      500     0.00     0.00  MyStg2nd::Shot004::~Shot004()
  0.00     30.14     0.00      497     0.00     0.00  MyStg2nd::MyStgUtil::resetShot004Status(GgafCore::GgafStatus*)
  0.00     30.14     0.00      486     0.00     0.00  MyStg2nd::Shot004::Shot004(char const*)
  0.00     30.14     0.00      473     0.00     0.00  GgafDx9LibStg::WallAAPrismActor::WallAAPrismActor(char const*, char const*)
  0.00     30.14     0.00      472     0.00     0.00  GgafDx9LibStg::StgUtil::isHit(GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliSphere*, GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliSphere*)
  0.00     30.14     0.00      468     0.00     0.00  MyStg2nd::Wall001Prism::Wall001Prism(char const*)
  0.00     30.14     0.00      451     0.00     0.00  GgafDx9LibStg::ColliAAPrism::ColliAAPrism()
  0.00     30.14     0.00      436     0.00     0.00  GgafDx9LibStg::DefaultMeshSetActor::~DefaultMeshSetActor()
  0.00     30.14     0.00      435     0.00     0.00  GgafDx9LibStg::DefaultMeshSetActor::DefaultMeshSetActor(char const*, char const*)
  0.00     30.14     0.00      416     0.00     0.00  MyStg2nd::MyShip::move_WAY_ZLEFT_DOWN()
  0.00     30.14     0.00      414     0.00     0.00  std::pair<std::string, int>::~pair()
  0.00     30.14     0.00      414     0.00     0.00  std::enable_if<std::is_lvalue_reference<std::pair<std::string const, int> const&>::value, std::pair<std::string const, int> const&>::type std::forward<std::pair<std::string const, int> const&>(std::identity<std::pair<std::string const, int> const&>::type)
  0.00     30.14     0.00      414     0.00     0.00  std::enable_if<!(std::is_lvalue_reference<std::string>::value), std::string&&>::type std::forward<std::string>(std::identity<std::string>::type&)
  0.00     30.14     0.00      409     0.00     0.00  ogg_page_serialno
  0.00     30.14     0.00      407     0.00     0.00  GgafCore::GgafGroupActor::setLordActor(GgafCore::GgafLordActor*)
  0.00     30.14     0.00      402     0.00     0.00  ToolBox::IO_Model_X::BlockID(std::string&)
  0.00     30.14     0.00      391     0.00     0.00  GgafDx9Core::GgafDx9DrawableActor::getAlpha()
  0.00     30.14     0.00      391     0.00     0.00  MyStg2nd::EffectLockon001::processBehavior()
  0.00     30.14     0.00      391     0.00     0.00  MyStg2nd::EffectLockon001::processJudgement()
  0.00     30.14     0.00      391     0.00     0.00  MyStg2nd::EffectLockon001_Main::processBehavior()
  0.00     30.14     0.00      391     0.00     0.00  MyStg2nd::EffectLockon001_Main::processJudgement()
  0.00     30.14     0.00      389     0.00     0.00  _vorbis_block_ripcord
  0.00     30.14     0.00      381     0.00     0.00  GgafDx9Core::GgafDx9Morpher::behave()
  0.00     30.14     0.00      381     0.00     0.00  GgafDx9LibStg::CubeMapMorphMeshActor::processFinal()
  0.00     30.14     0.00      381     0.00     0.00  GgafCore::GgafStatus::mul(int, double)
  0.00     30.14     0.00      381     0.00     0.00  MyStg2nd::EnemyThalia::processJudgement()
  0.00     30.14     0.00      369     0.00     0.00  ov_info
  0.00     30.14     0.00      365     0.00     0.00  vorbis_synthesis
  0.00     30.14     0.00      363     0.00     0.00  operator new(unsigned int, void*)
  0.00     30.14     0.00      363     0.00     0.00  vorbis_synthesis_blockin
  0.00     30.14     0.00      361     0.00     0.00  ov_comment
  0.00     30.14     0.00      361     0.00     0.00  ov_read_filter
  0.00     30.14     0.00      361     0.00     0.00  vorbis_synthesis_read
  0.00     30.14     0.00      360     0.00     0.00  MyStg2nd::MyStgUtil::resetMyTorpedoStatus(GgafCore::GgafStatus*)
  0.00     30.14     0.00      360     0.00     0.00  ov_read
  0.00     30.14     0.00      350     0.00     0.00  GgafDx9Core::GgafDx9UvFlipper::GgafDx9UvFlipper(GgafDx9Core::GgafDx9GeometricActor*)
  0.00     30.14     0.00      350     0.00     0.00  GgafDx9Core::GgafDx9UvFlipper::~GgafDx9UvFlipper()
  0.00     30.14     0.00      349     0.00     0.00  GgafDx9Core::GgafDx9UvFlipper::~GgafDx9UvFlipper()
  0.00     30.14     0.00      349     0.00     0.00  MyStg2nd::EffectLockon001_Main::lockon(GgafDx9Core::GgafDx9GeometricActor*)
  0.00     30.14     0.00      349     0.00     0.00  std::_List_iterator<Frm::Material*>::operator*() const
  0.00     30.14     0.00      347     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9GeometricActor>::next()
  0.00     30.14     0.00      345     0.00     0.00  MyStg2nd::MyShipDivingCamWorker::processBehavior()
  0.00     30.14     0.00      345     0.00     0.00  MyStg2nd::MyShipDivingCamWorker::processJudgement()
  0.00     30.14     0.00      343     0.00     0.00  MyStg2nd::MyStgUtil::resetMyTorpedoBlastStatus(GgafCore::GgafStatus*)
  0.00     30.14     0.00      334     0.00     0.00  GgafDx9Core::GgafDx9SeTransmitter::set(int, char const*, int)
  0.00     30.14     0.00      334     0.00     0.00  GgafCore::GgafResourceManager<GgafDx9Core::GgafDx9Se>::getConnection(char*)
  0.00     30.14     0.00      334     0.00     0.00  GgafCore::GgafResourceManager<GgafDx9Core::GgafDx9Se>::getConnection(char*, void*)
  0.00     30.14     0.00      334     0.00     0.00  GgafCore::GgafResourceManager<GgafDx9Core::GgafDx9Se>::find(char*)
  0.00     30.14     0.00      334     0.00     0.00  GgafCore::GgafResourceConnection<GgafDx9Core::GgafDx9Se>::close()
  0.00     30.14     0.00      333     0.00     0.00  MyStg2nd::MyShip::move_WAY_ZRIGHT_UP()
  0.00     30.14     0.00      328     0.00     0.00  res0_free_look
  0.00     30.14     0.00      322     0.00     0.00  ogg_page_granulepos
  0.00     30.14     0.00      320     0.00     0.00  std::enable_if<!(std::is_lvalue_reference<std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false> >::value), std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false>&&>::type std::forward<std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false> >(std::identity<std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false> >::type&)
  0.00     30.14     0.00      319     0.00     0.00  GgafDx9Core::GgafDx9SeTransmitter::useSe(int)
  0.00     30.14     0.00      316     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::defineRotMvWorldMatrix(void (*)(GgafDx9Core::GgafDx9GeometricActor*, D3DXMATRIX&))
  0.00     30.14     0.00      313     0.00     0.00  GgafDx9Core::GgafDx9SpriteSetActor::GgafDx9SpriteSetActor(char const*, char const*, char const*, char const*, GgafDx9Core::GgafDx9Checker*)
  0.00     30.14     0.00      313     0.00     0.00  GgafDx9Core::GgafDx9SpriteSetActor::~GgafDx9SpriteSetActor()
  0.00     30.14     0.00      313     0.00     0.00  GgafDx9LibStg::DefaultSpriteSetActor::DefaultSpriteSetActor(char const*, char const*)
  0.00     30.14     0.00      313     0.00     0.00  GgafDx9LibStg::DefaultSpriteSetActor::~DefaultSpriteSetActor()
  0.00     30.14     0.00      312     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::forceMvVeloRange(int, int)
  0.00     30.14     0.00      306     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::forceRyMvAngVeloRange(int, int)
  0.00     30.14     0.00      306     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::forceRzMvAngVeloRange(int, int)
  0.00     30.14     0.00      304     0.00     0.00  GgafDx9Core::GgafDx9Util::getWayAngle2D(int, int, int, int*)
  0.00     30.14     0.00      304     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::stopTagettingMvAngSequence()
  0.00     30.14     0.00      304     0.00     0.00  GgafDx9Core::GgafDx9GeometricScaler::intoTargetScaleLinerStep(int, int)
  0.00     30.14     0.00      304     0.00     0.00  MyStg2nd::MyOptionTorpedoController::fire()
  0.00     30.14     0.00      304     0.00     0.00  MyStg2nd::MyTorpedo::onActive()
  0.00     30.14     0.00      303     0.00     0.00  Frm::matrix<float>::operator[](int)
  0.00     30.14     0.00      300     0.00     0.00  MyStg2nd::OptionMagic::processCastingBehavior()
  0.00     30.14     0.00      296     0.00     0.00  MyStg2nd::MyTorpedo::onInactive()
  0.00     30.14     0.00      290     0.00     0.00  GgafDx9Core::GgafDx9RectUV::GgafDx9RectUV()
  0.00     30.14     0.00      290     0.00     0.00  GgafDx9Core::GgafDx9RectUV::~GgafDx9RectUV()
  0.00     30.14     0.00      285     0.00     0.00  ogg_page_checksum_set
  0.00     30.14     0.00      283     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned int, unsigned int, unsigned int) const
  0.00     30.14     0.00      272     0.00     0.00  GgafDx9Core::GgafDx9AlphaCurtain::processOpening()
  0.00     30.14     0.00      272     0.00     0.00  std::pair<bool, int>::pair<bool, int>(std::pair<bool, int>&&)
  0.00     30.14     0.00      272     0.00     0.00  std::pair<bool, int>::pair<bool, int, void>(bool&&, int&&)
  0.00     30.14     0.00      272     0.00     0.00  std::pair<bool, unsigned int>::pair<bool, int>(std::pair<bool, int>&&)
  0.00     30.14     0.00      272     0.00     0.00  std::pair<std::__decay_and_strip<bool>::__type, std::__decay_and_strip<int>::__type> std::make_pair<bool, int>(bool&&, int&&)
  0.00     30.14     0.00      271     0.00     0.00  std::_List_iterator<Frm::Mesh*>::operator*() const
  0.00     30.14     0.00      264     0.00     0.00  ToolBox::IO_Model_X::Find(unsigned char)
  0.00     30.14     0.00      256     0.00     0.00  MyStg2nd::EffectExplosion001::initialize()
  0.00     30.14     0.00      256     0.00     0.00  MyStg2nd::EffectExplosion001::EffectExplosion001(char const*)
  0.00     30.14     0.00      256     0.00     0.00  MyStg2nd::EffectExplosion001::~EffectExplosion001()
  0.00     30.14     0.00      256     0.00     0.00  MyStg2nd::EffectExplosion001::~EffectExplosion001()
  0.00     30.14     0.00      253     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::inactivateTree()
  0.00     30.14     0.00      252     0.00     0.00  MyStg2nd::EnemyCeresShot001::initialize()
  0.00     30.14     0.00      252     0.00     0.00  MyStg2nd::EnemyCeresShot001::~EnemyCeresShot001()
  0.00     30.14     0.00      252     0.00     0.00  MyStg2nd::EnemyCeresShot001::~EnemyCeresShot001()
  0.00     30.14     0.00      252     0.00     0.00  MyStg2nd::MyStgUtil::resetEnemyCeresShot001Status(GgafCore::GgafStatus*)
  0.00     30.14     0.00      249     0.00     0.00  MyStg2nd::EnemyCeresShot001::EnemyCeresShot001(char const*)
  0.00     30.14     0.00      245     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::isMoveingSmooth()
  0.00     30.14     0.00      242     0.00     0.00  GgafDx9Core::GgafDx9SpriteSetActor::addAlpha(float)
  0.00     30.14     0.00      240     0.00     0.00  GgafDx9Core::GgafDx9Universe::SeArray::SeArray()
  0.00     30.14     0.00      240     0.00     0.00  GgafDx9LibStg::VirtualButton::VBMap::VBMap()
  0.00     30.14     0.00      240     0.00     0.00  GgafDx9LibStg::VirtualButton::VBMap::~VBMap()
  0.00     30.14     0.00      240     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9Universe::SeArray>::Elem::Elem(GgafDx9Core::GgafDx9Universe::SeArray*, bool)
  0.00     30.14     0.00      240     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9Universe::SeArray>::Elem::~Elem()
  0.00     30.14     0.00      240     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9Universe::SeArray>::addLast(GgafDx9Core::GgafDx9Universe::SeArray*, bool)
  0.00     30.14     0.00      239     0.00     0.00  _book_maptype1_quantvals
  0.00     30.14     0.00      231     0.00     0.00  GgafDx9Core::GgafDx9GeometricScaler::intoTargetScaleAcceStep(int, int, int)
  0.00     30.14     0.00      231     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::onActive()
  0.00     30.14     0.00      231     0.00     0.00  MyStg2nd::MyTorpedoBlast::onInactive()
  0.00     30.14     0.00      231     0.00     0.00  MyStg2nd::MyTorpedoBlast::onActive()
  0.00     30.14     0.00      231     0.00     0.00  MyStg2nd::MyTorpedo::onHit(GgafCore::GgafActor*)
  0.00     30.14     0.00      231     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_Hashtable_iterator_base(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  0.00     30.14     0.00      225     0.00     0.00  MyStg2nd::MyShot001::initialize()
  0.00     30.14     0.00      225     0.00     0.00  MyStg2nd::MyShot001::MyShot001(char const*)
  0.00     30.14     0.00      225     0.00     0.00  MyStg2nd::MyShot001::~MyShot001()
  0.00     30.14     0.00      225     0.00     0.00  MyStg2nd::MyShot001::~MyShot001()
  0.00     30.14     0.00      225     0.00     0.00  MyStg2nd::MyStgUtil::resetMyShot001Status(GgafCore::GgafStatus*)
  0.00     30.14     0.00      224     0.00     0.00  GgafDx9LibStg::HomingLaserChip::HomingLaserChip(char const*, char const*)
  0.00     30.14     0.00      224     0.00     0.00  GgafDx9LibStg::HomingLaserChip::~HomingLaserChip()
  0.00     30.14     0.00      224     0.00     0.00  MyStg2nd::MyTorpedoTail::initialize()
  0.00     30.14     0.00      224     0.00     0.00  MyStg2nd::MyTorpedoTail::MyTorpedoTail(char const*, MyStg2nd::MyTorpedo*)
  0.00     30.14     0.00      224     0.00     0.00  MyStg2nd::MyTorpedoTail::~MyTorpedoTail()
  0.00     30.14     0.00      224     0.00     0.00  MyStg2nd::MyTorpedoTail::~MyTorpedoTail()
  0.00     30.14     0.00      223     0.00     0.00  ToolBox::IO_Model_X::AvoidTemplate()
  0.00     30.14     0.00      222     0.00     0.00  ogg_stream_destroy
  0.00     30.14     0.00      220     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, std::string>, false>::_Hashtable_iterator_base(std::__detail::_Hash_node<std::pair<std::string const, std::string>, false>*, std::__detail::_Hash_node<std::pair<std::string const, std::string>, false>**)
  0.00     30.14     0.00      218     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int> const&) const
  0.00     30.14     0.00      212     0.00     0.00  GgafCore::GgafMainActor::setGroupActor(GgafCore::GgafGroupActor*)
  0.00     30.14     0.00      211     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<std::string const, int>, false> const*, unsigned int) const
  0.00     30.14     0.00      208     0.00     0.00  MyStg2nd::TitleBoard::processBehavior()
  0.00     30.14     0.00      208     0.00     0.00  MyStg2nd::TitleBoard::processJudgement()
  0.00     30.14     0.00      207     0.00     0.00  MyStg2nd::MyShip::move_WAY_ZLEFT_UP()
  0.00     30.14     0.00      207     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::allocate(unsigned int, void const*)
  0.00     30.14     0.00      207     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::construct<std::pair<std::string const, int> const&>(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::pair<std::string const, int> const&&&)
  0.00     30.14     0.00      207     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::max_size() const
  0.00     30.14     0.00      207     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, unsigned int) const
  0.00     30.14     0.00      207     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::operator->() const
  0.00     30.14     0.00      207     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_allocate_node(std::pair<std::string const, int> const&)
  0.00     30.14     0.00      207     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_insert_bucket(std::pair<std::string const, int> const&, unsigned int, unsigned int)
  0.00     30.14     0.00      207     0.00     0.00  std::pair<std::string const, int>::pair(std::pair<std::string const, int> const&)
  0.00     30.14     0.00      207     0.00     0.00  std::pair<std::string const, int>::pair<std::string, int>(std::pair<std::string, int>&&)
  0.00     30.14     0.00      207     0.00     0.00  std::pair<std::string const, int>::~pair()
  0.00     30.14     0.00      207     0.00     0.00  std::pair<std::string, int>::pair<std::string, int>(std::pair<std::string, int>&&)
  0.00     30.14     0.00      207     0.00     0.00  std::pair<std::string, int>::pair<int, void>(std::string const&, int&&)
  0.00     30.14     0.00      207     0.00     0.00  std::__detail::_Hash_node<std::pair<std::string const, int>, false>::_Hash_node<std::pair<std::string const, int> const&>(std::pair<std::string const, int> const&&&)
  0.00     30.14     0.00      207     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::_Hashtable_iterator(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  0.00     30.14     0.00      207     0.00     0.00  std::enable_if<std::is_lvalue_reference<std::string const&>::value, std::string const&>::type std::forward<std::string const&>(std::identity<std::string const&>::type)
  0.00     30.14     0.00      207     0.00     0.00  std::pair<std::__decay_and_strip<std::string const&>::__type, std::__decay_and_strip<int>::__type> std::make_pair<std::string const&, int>(std::string const&&&, int&&)
  0.00     30.14     0.00      200     0.00     0.00  GgafDx9Core::GgafDx9GeoElem::GgafDx9GeoElem(GgafDx9Core::GgafDx9GeometricActor*)
  0.00     30.14     0.00      200     0.00     0.00  GgafDx9Core::GgafDx9GeoElem::~GgafDx9GeoElem()
  0.00     30.14     0.00      200     0.00     0.00  GgafDx9Core::GgafDx9GeoElem::~GgafDx9GeoElem()
  0.00     30.14     0.00      200     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9GeoElem>::Elem::Elem(GgafDx9Core::GgafDx9GeoElem*, bool)
  0.00     30.14     0.00      200     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9GeoElem>::Elem::~Elem()
  0.00     30.14     0.00      200     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9GeoElem>::addLast(GgafDx9Core::GgafDx9GeoElem*, bool)
  0.00     30.14     0.00      198     0.00     0.00  GgafDx9Core::GgafDx9BoardSetActor::processDraw()
  0.00     30.14     0.00      198     0.00     0.00  std::_Select1st<std::pair<std::string const, std::string> >::operator()(std::pair<std::string const, std::string>&) const
  0.00     30.14     0.00      198     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_compare(std::string const&, unsigned int, std::__detail::_Hash_node<std::pair<std::string const, std::string>, false>*) const
  0.00     30.14     0.00      192     0.00     0.00  std::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false>, bool>::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false>, bool>(std::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, std::string>, false, false>, bool>&&)
  0.00     30.14     0.00      184     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::string const&, unsigned int, unsigned int) const
  0.00     30.14     0.00      183     0.00     0.00  std::_List_iterator<Frm::Material*>::_List_iterator(std::_List_node_base*)
  0.00     30.14     0.00      182     0.00     0.00  MyStg2nd::MyShip::move_WAY_ZRIGHT_DOWN()
  0.00     30.14     0.00      181     0.00     0.00  MyStg2nd::GameBeginningScene::processFinal()
